"ID","Sex","Grid","Year","julian","trial_id","Obs","docil","handlevent_year","Study","front","attack_rate","back","ln_attack_latency","ln_approach_latency","hole_rate","jump_rate","chew","still","hang","groom","walk","fecal","trial_life","trial_year"
4,"F","SU","2005",177,NA,"MRG",28,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,"M","AG","2005",165,NA,"CLS",15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,"M","AG","2005",182,"0.44270.2005.182","ADI",17,10,"AKB",-19.4564189189189,-0.515405405405405,-23.8402027027027,0.308053947614373,0.580496861175091,-0.859427609427611,-2.87114478114478,-3.00666666666667,23.1603703703704,-15.642835016835,-1.12710437710438,-5.67434343434344,7,1,1
611,"M","AG","2005",224,"0.44270.2005.224","ADI",8,12,"AKB",16.6935810810811,1.0845945945946,-15.8202027027027,-0.080931218404738,0.22456418474682,-0.329427609427611,-2.87114478114478,-3.00666666666667,23.1203703703704,-11.322835016835,2.48289562289562,-2.66434343434344,5,2,2
5,"F","KL","2005",170,"0.46255.2005.170","ADI",10,10,"AKB",-16.5064189189189,-0.315405405405405,40.0497972972973,0.21181295636072,0.0961486912489716,1.93057239057239,-2.47114478114478,-1.89666666666667,-17.3896296296296,-2.44283501683502,0.18289562289562,0.307656565656562,8,1,1
5,"F","KL","2005",184,NA,"MAW",20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"F","KL","2005",212,"0.46255.2005.212","ADI",12,14,"AKB",73.6035810810811,0.0845945945945954,-42.1402027027027,-1.36972675765171,-1.27782154823783,0.610572390572389,-3.14114478114478,-2.36666666666667,-2.99962962962961,-15.856835016835,-0.19710437710438,-5.37634343434344,20,2,2
5,"F","KL","2005",219,NA,"ADI",10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,"M","AG","2005",170,NA,"CLS",17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,"M","AG","2005",173,"0.46342.2005.173","ADI",12,8,"AKB",-17.5264189189189,-0.515405405405405,41.3497972972973,0.308053947614373,-1.23285440272131,-0.999427609427611,-1.01114478114478,-3.00666666666667,-14.7196296296296,26.437164983165,-1.12710437710438,-6.58434343434344,10.9,1,1
613,"M","AG","2005",218,"0.46342.2005.218","ADI",10,11,"AKB",-12.2064189189189,-0.515405405405405,-31.1002027027027,0.308053947614373,-1.17724215748897,-1.25942760942761,-1.94114478114478,-3.00666666666667,26.5303703703704,-6.61283501683502,1.61289562289562,-8.58434343434344,6,2,2
613,"M","AG","2005",224,NA,"CLS",29,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,"M","AG","2008",186,"0.46342.2008.186","BJD",17,5,"RWT",-28.1802631578948,-0.410526315789475,49.8068421052632,0.303164505735397,0.796949425219665,-0.966233766233766,-2.38961038961039,-6.61727272727273,49.8562337662337,-12.0083116883117,-3.99948051948052,-19.1401298701299,0,3,1
613,"M","AG","2009",195,NA,"SEM",13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,"M","AG","2009",216,NA,"SBS",20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
