"Year","Grid","ID","Sex","kprod","ars_all","age","year","grid_year","competition"
"2003","KL",341,"female",3,0,5,2003,"KL2003",7.9
"2003","KL",425,"female",4,0,2,2003,"KL2003",7.9
"2003","KL",328,"female",3,0,6,2003,"KL2003",7.9
"2003","KL",468,"female",4,2,2,2003,"KL2003",7.9
"2003","KL",296,"female",3,1,5,2003,"KL2003",7.9
"2003","KL",288,"female",3,1,5,2003,"KL2003",7.9
"2003","KL",387,"female",3,0,5,2003,"KL2003",7.9
"2003","KL",202,"female",3,1,5,2003,"KL2003",7.9
"2003","KL",404,"female",3,0,3,2003,"KL2003",7.9
"2003","KL",431,"female",2,0,2,2003,"KL2003",7.9
"2003","KL",391,"female",3,1,5,2003,"KL2003",7.9
"2003","KL",422,"female",3,0,2,2003,"KL2003",7.9
"2003","KL",414,"female",3,0,4,2003,"KL2003",7.9
"2003","KL",359,"female",7,0,5,2003,"KL2003",7.9
"2003","KL",282,"female",3,0,6,2003,"KL2003",7.9
"2003","KL",384,"female",4,0,6,2003,"KL2003",7.9
"2003","KL",495,"female",4,0,2,2003,"KL2003",7.9
"2003","KL",437,"female",2,0,1,2003,"KL2003",7.9
"2003","KL",429,"female",3,1,2,2003,"KL2003",7.9
"2003","KL",458,"female",3,0,2,2003,"KL2003",7.9
"2003","KL",438,"female",1,0,1,2003,"KL2003",7.9
"2003","KL",419,"female",4,1,2,2003,"KL2003",7.9
"2003","KL",441,"female",2,1,2,2003,"KL2003",7.9
"2003","KL",420,"female",2,0,2,2003,"KL2003",7.9
"2003","KL",457,"female",2,0,3,2003,"KL2003",7.9
"2003","KL",421,"female",2,1,2,2003,"KL2003",7.9
"2003","SU",451,"female",3,3,1,2003,"SU2003",4.66666666666667
"2003","SU",417,"female",4,1,2,2003,"SU2003",4.66666666666667
"2003","SU",91,"female",7,1,6,2003,"SU2003",4.66666666666667
"2003","SU",402,"female",3,1,3,2003,"SU2003",4.66666666666667
"2003","SU",168,"female",3,0,5,2003,"SU2003",4.66666666666667
"2003","SU",369,"female",3,0,6,2003,"SU2003",4.66666666666667
"2003","SU",4,"female",1,0,6,2003,"SU2003",4.66666666666667
"2003","SU",400,"female",2,0,5,2003,"SU2003",4.66666666666667
"2003","SU",424,"female",5,0,2,2003,"SU2003",4.66666666666667
"2003","SU",529,"female",3,0,2,2003,"SU2003",4.66666666666667
"2003","SU",406,"female",3,0,3,2003,"SU2003",4.66666666666667
"2003","SU",388,"female",3,0,6,2003,"SU2003",4.66666666666667
"2003","SU",453,"female",3,0,1,2003,"SU2003",4.66666666666667
"2003","SU",374,"female",3,0,6,2003,"SU2003",4.66666666666667
"2003","SU",410,"female",4,1,6,2003,"SU2003",4.66666666666667
"2003","SU",465,"female",3,3,2,2003,"SU2003",4.66666666666667
"2003","SU",455,"female",3,1,1,2003,"SU2003",4.66666666666667
"2003","SU",401,"female",3,0,5,2003,"SU2003",4.66666666666667
"2003","SU",370,"female",3,2,5,2003,"SU2003",4.66666666666667
"2003","SU",381,"female",3,0,5,2003,"SU2003",4.66666666666667
"2003","SU",398,"female",3,0,5,2003,"SU2003",4.66666666666667
"2003","SU",459,"female",2,2,2,2003,"SU2003",4.66666666666667
"2004","KL",359,"female",2,2,6,2004,"KL2004",3.04761904761905
"2004","KL",499,"female",4,0,2,2004,"KL2004",3.04761904761905
"2004","KL",288,"female",3,2,6,2004,"KL2004",3.04761904761905
"2004","KL",498,"female",2,1,2,2004,"KL2004",3.04761904761905
"2004","KL",495,"female",3,2,3,2004,"KL2004",3.04761904761905
"2004","KL",439,"female",3,0,1,2004,"KL2004",3.04761904761905
"2004","KL",438,"female",3,0,2,2004,"KL2004",3.04761904761905
"2004","KL",450,"female",3,3,2,2004,"KL2004",3.04761904761905
"2004","KL",428,"female",2,1,2,2004,"KL2004",3.04761904761905
"2004","KL",368,"female",2,0,6,2004,"KL2004",3.04761904761905
"2004","KL",419,"female",3,1,3,2004,"KL2004",3.04761904761905
"2004","KL",437,"female",3,1,2,2004,"KL2004",3.04761904761905
"2004","KL",411,"female",3,2,1,2004,"KL2004",3.04761904761905
"2004","KL",436,"female",3,0,2,2004,"KL2004",3.04761904761905
"2004","KL",282,"female",2,2,7,2004,"KL2004",3.04761904761905
"2004","KL",435,"female",3,0,2,2004,"KL2004",3.04761904761905
"2004","KL",448,"female",3,0,2,2004,"KL2004",3.04761904761905
"2004","KL",425,"female",3,0,3,2004,"KL2004",3.04761904761905
"2004","KL",423,"female",3,0,3,2004,"KL2004",3.04761904761905
"2004","KL",421,"female",3,0,3,2004,"KL2004",3.04761904761905
"2004","KL",432,"female",3,0,2,2004,"KL2004",3.04761904761905
"2004","KL",468,"female",3,3,3,2004,"KL2004",3.04761904761905
"2004","KL",431,"female",2,1,3,2004,"KL2004",3.04761904761905
"2004","SU",4,"female",3,0,7,2004,"SU2004",4.0625
"2004","SU",402,"female",3,1,4,2004,"SU2004",4.0625
"2004","SU",417,"female",4,1,3,2004,"SU2004",4.0625
"2004","SU",529,"female",3,3,3,2004,"SU2004",4.0625
"2004","SU",459,"female",3,0,3,2004,"SU2004",4.0625
"2004","SU",464,"female",2,0,3,2004,"SU2004",4.0625
"2004","SU",185,"female",4,0,6,2004,"SU2004",4.0625
"2004","SU",465,"female",2,2,3,2004,"SU2004",4.0625
"2004","SU",453,"female",2,1,2,2004,"SU2004",4.0625
"2004","SU",452,"female",4,0,2,2004,"SU2004",4.0625
"2004","SU",460,"female",6,0,2,2004,"SU2004",4.0625
"2004","SU",466,"female",2,1,3,2004,"SU2004",4.0625
"2004","SU",398,"female",3,0,6,2004,"SU2004",4.0625
"2004","SU",386,"female",2,1,7,2004,"SU2004",4.0625
"2004","SU",472,"female",3,0,7,2004,"SU2004",4.0625
"2004","SU",369,"female",5,3,7,2004,"SU2004",4.0625
"2004","SU",444,"female",3,1,1,2004,"SU2004",4.0625
"2004","SU",451,"female",3,2,2,2004,"SU2004",4.0625
"2004","SU",409,"female",3,0,1,2004,"SU2004",4.0625
"2004","SU",381,"female",2,0,6,2004,"SU2004",4.0625
"2004","SU",400,"female",1,0,6,2004,"SU2004",4.0625
"2004","SU",455,"female",2,0,2,2004,"SU2004",4.0625
"2005","KL",506,"female",3,0,2,2005,"KL2005",3.33333333333333
"2005","KL",431,"female",6,2,4,2005,"KL2005",3.33333333333333
"2005","KL",447,"female",4,1,2,2005,"KL2005",3.33333333333333
"2005","KL",498,"female",3,1,3,2005,"KL2005",3.33333333333333
"2005","KL",423,"female",7,1,4,2005,"KL2005",3.33333333333333
"2005","KL",462,"female",6,2,1,2005,"KL2005",3.33333333333333
"2005","KL",504,"female",4,0,1,2005,"KL2005",3.33333333333333
"2005","KL",469,"female",4,2,1,2005,"KL2005",3.33333333333333
"2005","KL",433,"female",2,0,2,2005,"KL2005",3.33333333333333
"2005","KL",470,"female",4,4,1,2005,"KL2005",3.33333333333333
"2005","KL",438,"female",8,5,3,2005,"KL2005",3.33333333333333
"2005","KL",425,"female",4,3,4,2005,"KL2005",3.33333333333333
"2005","KL",502,"female",4,2,1,2005,"KL2005",3.33333333333333
"2005","KL",440,"female",7,0,2,2005,"KL2005",3.33333333333333
"2005","KL",511,"female",4,1,1,2005,"KL2005",3.33333333333333
"2005","KL",501,"female",2,1,2,2005,"KL2005",3.33333333333333
"2005","KL",411,"female",7,3,2,2005,"KL2005",3.33333333333333
"2005","KL",463,"female",4,2,1,2005,"KL2005",3.33333333333333
"2005","KL",449,"female",6,1,3,2005,"KL2005",3.33333333333333
